clip_id,condition,status,returncode,elapsed_sec,clip_path,protected_target_image_path,replacement_image_path,output_video,log_path,face_metadata,tracking_metadata,stdout,stderr
170221_haggling_b2_hd_00_27_0001850000,no_identity_lock,completed,0,94.504,170221_haggling_b2_hd_00_27_0001850000.mp4,170221_haggling_b2_hd_00_27_0001850000_target.jpg,fake_face.jpg,170221_haggling_b2_hd_00_27_0001850000_output.mp4,tracking_target_170221_haggling_b2_hd_00_27_0001850000_log.txt,face_metadata_170221_haggling_b2_hd_00_27_0001850000.json,tracking_metadata_170221_haggling_b2_hd_00_27_0001850000.json,stdout.log,stderr.log
170221_haggling_b3_hd_00_27_0001250000,no_identity_lock,completed,0,122.798,170221_haggling_b3_hd_00_27_0001250000.mp4,170221_haggling_b3_hd_00_27_0001250000_target.jpg,fake_face.jpg,170221_haggling_b3_hd_00_27_0001250000_output.mp4,tracking_target_170221_haggling_b3_hd_00_27_0001250000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001250000.json,tracking_metadata_170221_haggling_b3_hd_00_27_0001250000.json,stdout.log,stderr.log
170221_haggling_b3_hd_00_27_0001350000,no_identity_lock,completed,0,123.768,170221_haggling_b3_hd_00_27_0001350000.mp4,170221_haggling_b3_hd_00_27_0001350000_target.jpg,fake_face.jpg,170221_haggling_b3_hd_00_27_0001350000_output.mp4,tracking_target_170221_haggling_b3_hd_00_27_0001350000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001350000.json,tracking_metadata_170221_haggling_b3_hd_00_27_0001350000.json,stdout.log,stderr.log
170221_haggling_b3_hd_00_27_0001450000,no_identity_lock,completed,0,109.696,170221_haggling_b3_hd_00_27_0001450000.mp4,170221_haggling_b3_hd_00_27_0001450000_target.jpg,fake_face.jpg,170221_haggling_b3_hd_00_27_0001450000_output.mp4,tracking_target_170221_haggling_b3_hd_00_27_0001450000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001450000.json,tracking_metadata_170221_haggling_b3_hd_00_27_0001450000.json,stdout.log,stderr.log
170224_haggling_b1_hd_00_08_0001350000,no_identity_lock,completed,0,87.174,170224_haggling_b1_hd_00_08_0001350000.mp4,170224_haggling_b1_hd_00_08_0001350000_target.jpg,fake_face.jpg,170224_haggling_b1_hd_00_08_0001350000_output.mp4,tracking_target_170224_haggling_b1_hd_00_08_0001350000_log.txt,face_metadata_170224_haggling_b1_hd_00_08_0001350000.json,tracking_metadata_170224_haggling_b1_hd_00_08_0001350000.json,stdout.log,stderr.log
170224_haggling_b1_hd_00_08_0001550000,no_identity_lock,completed,0,126.47,170224_haggling_b1_hd_00_08_0001550000.mp4,170224_haggling_b1_hd_00_08_0001550000_target.jpg,fake_face.jpg,170224_haggling_b1_hd_00_08_0001550000_output.mp4,tracking_target_170224_haggling_b1_hd_00_08_0001550000_log.txt,face_metadata_170224_haggling_b1_hd_00_08_0001550000.json,tracking_metadata_170224_haggling_b1_hd_00_08_0001550000.json,stdout.log,stderr.log
170224_haggling_b1_hd_00_25_0001450000,no_identity_lock,completed,0,134.265,170224_haggling_b1_hd_00_25_0001450000.mp4,170224_haggling_b1_hd_00_25_0001450000_target.jpg,fake_face.jpg,170224_haggling_b1_hd_00_25_0001450000_output.mp4,tracking_target_170224_haggling_b1_hd_00_25_0001450000_log.txt,face_metadata_170224_haggling_b1_hd_00_25_0001450000.json,tracking_metadata_170224_haggling_b1_hd_00_25_0001450000.json,stdout.log,stderr.log
170224_haggling_b1_hd_00_25_0001750000,no_identity_lock,completed,0,121.921,170224_haggling_b1_hd_00_25_0001750000.mp4,170224_haggling_b1_hd_00_25_0001750000_target.jpg,fake_face.jpg,170224_haggling_b1_hd_00_25_0001750000_output.mp4,tracking_target_170224_haggling_b1_hd_00_25_0001750000_log.txt,face_metadata_170224_haggling_b1_hd_00_25_0001750000.json,tracking_metadata_170224_haggling_b1_hd_00_25_0001750000.json,stdout.log,stderr.log
170221_haggling_b2_hd_00_27_0001350000,no_blur_fallback,completed,0,87.361,170221_haggling_b2_hd_00_27_0001350000.mp4,170221_haggling_b2_hd_00_27_0001350000_target.jpg,fake_face.jpg,170221_haggling_b2_hd_00_27_0001350000_output.mp4,tracking_target_170221_haggling_b2_hd_00_27_0001350000_log.txt,face_metadata_170221_haggling_b2_hd_00_27_0001350000.json,tracking_metadata_170221_haggling_b2_hd_00_27_0001350000.json,stdout.log,stderr.log
170221_haggling_b2_hd_00_27_0001850000,no_blur_fallback,completed,0,98.747,170221_haggling_b2_hd_00_27_0001850000.mp4,170221_haggling_b2_hd_00_27_0001850000_target.jpg,fake_face.jpg,170221_haggling_b2_hd_00_27_0001850000_output.mp4,tracking_target_170221_haggling_b2_hd_00_27_0001850000_log.txt,face_metadata_170221_haggling_b2_hd_00_27_0001850000.json,tracking_metadata_170221_haggling_b2_hd_00_27_0001850000.json,stdout.log,stderr.log
170221_haggling_b3_hd_00_27_0001250000,no_blur_fallback,completed,0,130.654,170221_haggling_b3_hd_00_27_0001250000.mp4,170221_haggling_b3_hd_00_27_0001250000_target.jpg,fake_face.jpg,170221_haggling_b3_hd_00_27_0001250000_output.mp4,tracking_target_170221_haggling_b3_hd_00_27_0001250000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001250000.json,tracking_metadata_170221_haggling_b3_hd_00_27_0001250000.json,stdout.log,stderr.log
170221_haggling_b3_hd_00_27_0001350000,no_blur_fallback,completed,0,130.464,170221_haggling_b3_hd_00_27_0001350000.mp4,170221_haggling_b3_hd_00_27_0001350000_target.jpg,fake_face.jpg,170221_haggling_b3_hd_00_27_0001350000_output.mp4,tracking_target_170221_haggling_b3_hd_00_27_0001350000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001350000.json,tracking_metadata_170221_haggling_b3_hd_00_27_0001350000.json,stdout.log,stderr.log
170221_haggling_b3_hd_00_27_0001450000,no_blur_fallback,completed,0,118.051,170221_haggling_b3_hd_00_27_0001450000.mp4,170221_haggling_b3_hd_00_27_0001450000_target.jpg,fake_face.jpg,170221_haggling_b3_hd_00_27_0001450000_output.mp4,tracking_target_170221_haggling_b3_hd_00_27_0001450000_log.txt,face_metadata_170221_haggling_b3_hd_00_27_0001450000.json,tracking_metadata_170221_haggling_b3_hd_00_27_0001450000.json,stdout.log,stderr.log
170224_haggling_b1_hd_00_08_0001350000,no_blur_fallback,completed,0,92.734,170224_haggling_b1_hd_00_08_0001350000.mp4,170224_haggling_b1_hd_00_08_0001350000_target.jpg,fake_face.jpg,170224_haggling_b1_hd_00_08_0001350000_output.mp4,tracking_target_170224_haggling_b1_hd_00_08_0001350000_log.txt,face_metadata_170224_haggling_b1_hd_00_08_0001350000.json,tracking_metadata_170224_haggling_b1_hd_00_08_0001350000.json,stdout.log,stderr.log
170224_haggling_b1_hd_00_08_0001550000,no_blur_fallback,completed,0,125.742,170224_haggling_b1_hd_00_08_0001550000.mp4,170224_haggling_b1_hd_00_08_0001550000_target.jpg,fake_face.jpg,170224_haggling_b1_hd_00_08_0001550000_output.mp4,tracking_target_170224_haggling_b1_hd_00_08_0001550000_log.txt,face_metadata_170224_haggling_b1_hd_00_08_0001550000.json,tracking_metadata_170224_haggling_b1_hd_00_08_0001550000.json,stdout.log,stderr.log
170224_haggling_b1_hd_00_25_0001450000,no_blur_fallback,completed,0,126.311,170224_haggling_b1_hd_00_25_0001450000.mp4,170224_haggling_b1_hd_00_25_0001450000_target.jpg,fake_face.jpg,170224_haggling_b1_hd_00_25_0001450000_output.mp4,tracking_target_170224_haggling_b1_hd_00_25_0001450000_log.txt,face_metadata_170224_haggling_b1_hd_00_25_0001450000.json,tracking_metadata_170224_haggling_b1_hd_00_25_0001450000.json,stdout.log,stderr.log
170224_haggling_b1_hd_00_25_0001750000,no_blur_fallback,completed,0,116.543,170224_haggling_b1_hd_00_25_0001750000.mp4,170224_haggling_b1_hd_00_25_0001750000_target.jpg,fake_face.jpg,170224_haggling_b1_hd_00_25_0001750000_output.mp4,tracking_target_170224_haggling_b1_hd_00_25_0001750000_log.txt,face_metadata_170224_haggling_b1_hd_00_25_0001750000.json,tracking_metadata_170224_haggling_b1_hd_00_25_0001750000.json,stdout.log,stderr.log
